NGRAM,VALUE,
 ,3368.401951234935
ohne Not,130.3427738245475
weiterer Abgeordneter,129.5428703384
Frau Staatssekretärin,129.18882701852533
in Wirklichkeit,128.92657673128429
es geht,128.42471916326298
wenn es,128.3246606558453
beschließen Die,128.20222266936295
kann nicht,127.89966826207737
meines Erachtens,127.33517051232052
Wenn man,127.30461095199743
Herr Vizekanzler,127.27587309633685
wird aufgefordert,127.21666495817118
kalte Progression,127.11120808447218
dass es,126.28937358054242
von der,125.60707082664348
Präsident Frau,125.17835699603745
Republik Österreich,124.92235900313028
weil ,124.50873290968164
Herren Regierungsbank,124.05740415617441
mehr als,122.67388668954713
Danke Herr,122.04783356870317
diesem Bereich,119.7270169586008
in Bereichen,119.71355271407867
des Bundesheeres,118.59805747831355
Verstaatlichung Not,118.40958533555363
sagen ,117.92183187506123
weiterer Folge,117.34504206858182
sage ich,117.29766962465456
Herr Haus,116.26191255585444
Danke Präsident,116.00047667934803
der ÖVP,115.76682188899207
zur Kenntnis,115.68646064988823
Herren ,115.36883436832659
Josef Pröll,114.93107767934559
von SPÖ,113.82368708236986
Kolleginnen betreffend,113.728828468462
Herr Meine,112.9242889530409
in ,112.6955790525044
es nicht,112.34913106020389
vor Ort,110.78337083317763
frage ich,110.73364720070813
es darum,109.91977263062546
Einsetzung eines,109.55321725993737
Sehr Herren,109.4746941515789
darauf dass,109.27491704789612
bis dato,109.02697270069358
worden sind,109.02503015410662
Danke Sehr,108.65090004101305
ich schon,108.59976625874188
mit einem,108.42136880927313
davon dass,108.04923206404166
Jahr ,107.93846548176549
und auch,106.7832314684236
Österreicherinnen Österreicher,106.76027746490603
Herr geehrte,106.2673754107882
Kollegen betreffend,105.71302875717204
allen Dingen,105.71158764686142
diesem Land,105.64165132777445
Da ,105.63564296819646
Und ,105.33811871883546
in Form,105.07742414844299
in Wien,104.94389367508123
nicht ,104.67257900842174
ich sage,104.28340646203618
und und,103.79477309618011
Bundesregierung aufgefordert,103.61903416095433
Ich denke,103.49997981707075
Guten Morgen,103.32859529021165
meiner Sicht,101.7810013951435
bis hin,101.78013744172236
Meine verehrten,101.55114123016175
dafür dass,101.39661126198344
hat gesagt,101.04783201194786
gebe recht,101.04022909386526
Statistik Austria,100.94095396013627
Kollege hat,100.69330268449329
eines Untersuchungsausschusses,100.26488572581756
ich glaube,99.94098788226464
 Da,99.71812158186626
in einem,98.70568625242116
 dann,98.70154736775294
über die,98.44512204958153
